venue,type,subtype,date,url
BioVis,Challenge,,9/9/2022,http://biovis.net/
Graph Drawing,Conference begins,,9/13/2022,https://graphdrawing.github.io/gd2022//
SIGGRAPH,Conference begins,,8/8/2022,https://www.siggraph.org/
VIS,SV,Sign-up ends,8/31/2022,http://www.vissv.org/
VLDB,Conference begins,,8/28/2023,https://vldb.org/2023/
UIST,SV,Sign-up begins,8/22/2022,https://uist.acm.org/uist2022/cfp.html
OzCHI,Paper,LBW,8/12/2022,http://www.OzCHI.org/2022/index.html
OzCHI,Paper,Case Study,8/12/2022,http://www.OzCHI.org/2022/index.html
OzCHI,Art,Creativity Track,8/12/2022,http://www.OzCHI.org/2022/index.html
Graph Drawing,Poster,,8/10/2022,https://graphdrawing.github.io/gd2022//
VDS at VIS,Paper,,7/7/2022,http://www.visualdatascience.org/2022/cfp/
BELIV,Paper,,7/6/2022,https://beliv-workshop.github.io/
SciVis,Challenge,,7/31/2022,https://www.lanl.gov/projects/sciviscontest2022/
alt.VIS,Submission,,7/29/2022,https://altvis.github.io/
VizSec,Poster,,7/28/2022,https://vizsec.org/
VISSOFT,Paper,Journal Track,7/25/2022,https://vissoft.info/2022/index.html
VISxAI Workshop,Paper,Explainable,7/22/2022,https://visxai.io/
UIST,Poster,,7/20/2022,https://uist.acm.org/uist2022/cfp.html
UIST,DC,,7/20/2022,https://uist.acm.org/uist2022/cfp.html
CSCW,Paper,July Cycle,7/15/2022,https://cscw.acm.org/2023/
SIGMOD,Paper,Cycle B,7/15/2022,https://2023.sigmod.org/calls_papers_important_dates.shtml
VAST,Challenge,,7/13/2022,https://vast-challenge.github.io/2022/submissions.html
Graph Drawing,Paper,,6/8/2022,https://graphdrawing.github.io/gd2022//
VISSOFT,Paper,Technical Track,6/27/2022,https://vissoft.info/2022/index.html
VizSec,Paper,,6/22/2022,https://vizsec.org/
VISSOFT,Abstract,Technical Track,6/20/2022,https://vissoft.info/2022/index.html
LDAV,Paper,,6/20/2022,https://ldav.org/
VISAP,Art,,6/2/2022,https://visap.net/2022/
SIGMOD,Conference begins,,6/18/2023,https://2023.sigmod.org/calls_papers_important_dates.shtml
OzCHI,Paper,,6/17/2022,http://www.OzCHI.org/2022/index.html
LDAV,Abstract,,6/13/2022,https://ldav.org/
EuroVis,Conference begins,,6/12/2023,https://conferences.eg.org/eurovis2023/for-submitters/important-dates/
Graph Drawing,Abstract,,6/1/2022,https://graphdrawing.github.io/gd2022//
VDS at KDD,Paper,,5/26/2022,http://www.visualdatascience.org/2022/cfp/
VIS,SV,Sign-up begins,5/15/2022,http://www.vissv.org/
VL/HCC,Poster,,5/13/2022,https://conf.researchr.org/track/vlhcc-2022/vlhcc-2022-posters-and-showpieces?#Call-for-Posters-and-Showpieces
UIST,Full Paper,,4/7/2022,https://uist.acm.org/uist2022/cfp.html
PacificVis,Conference begins,,4/18/2023,https://pvis2023.github.io/pvis2023/
AVI,Poster,,4/16/2022,https://sites.google.com/di.uniroma1.it/avi2022/calls/posters-and-demo
SIGMOD,Paper,Cycle A,4/15/2022,https://2023.sigmod.org/calls_papers_important_dates.shtml
CHI,Conference begins,,4/13/2023,https://chi2023.acm.org/
EuroVis,Poster,,4/11/2022,https://conferences.eg.org/eurovis2023/for-submitters/important-dates/
ECSCW,Paper,Journal,4/1/2023,https://ecscw.eusset.eu/2023/
UIST,Abstract,Full Papers,3/31/2022,https://uist.acm.org/uist2022/cfp.html
VL/HCC,Paper,,3/30/2022,https://conf.researchr.org/track/vlhcc-2022/vlhcc-2022-vl-hcc-main-conference?#Call-for-Research-Papers
VL/HCC,Abstract,,3/23/2022,https://conf.researchr.org/track/vlhcc-2022/vlhcc-2022-vl-hcc-main-conference?#Call-for-Research-Papers
AVI,Paper,,2/6/2022,https://sites.google.com/di.uniroma1.it/avi2022/calls/paper-submission
EuroVis,Short Paper,,2/28/2022,https://conferences.eg.org/eurovis2023/for-submitters/important-dates/
HCxAI,Paper,,2/22/2022,https://hcxai.jimdosite.com/
ECSCW,Notes,,2/20/2023,https://ecscw.eusset.eu/2023/notes/
ECSCW,Paper,Exploratory,2/20/2023,https://ecscw.eusset.eu/2023/exploratory-papers/
ECSCW,DC,,2/20/2023,https://ecscw.eusset.eu/2023/doctoral-colloquium/
ECSCW,Poster,,2/20/2023,https://ecscw.eusset.eu/2023/posters-demo/
PacificVis,Poster,,2/18/2022,https://pvis2022.github.io/pvis2022/cfp/posters/
KDD,Paper,,2/10/2022,https://www.kdd.org/kdd2022/cfpResearch.html
PacificVis,Notes,,12/9/2022,https://pvis2023.github.io/pvis2023/pages/cfps/cfp_notes
Vis Meets AI,Paper,,12/30/2022,https://vismeetsai.github.io/
VISIGRAPP,Paper,,12/20/2022,https://visigrapp.scitevents.org/ImportantInformation.aspx
EuroVis,Full Paper,,12/2/2022,https://conferences.eg.org/eurovis2023/for-submitters/important-dates/
IUI,SV,Sign-up ends,12/2/2022,https://iui.acm.org/2023/call_for_student_volunteers.html
alt.chi,Paper,,12/15/2022,https://chi2023.acm.org/for-authors/alt-chi/
EuroVis,Abstract,Full Papers,11/25/2022,https://conferences.eg.org/eurovis2023/for-submitters/important-dates/
CHI,DC,,11/10/2022,https://chi2023.acm.org/for-authors/doctoral-consortium/
IVAPP,Paper,,11/1/2022,https://ivapp.scitevents.org/
IUI,Abstract,,10/7/2022,https://iui.acm.org/2023/call_for_papers.html
